ChEMBL ID,Frequency,Avg Predicted Value
CHEMBL3137317,1.0,7.622053656399947
CHEMBL3348963,1.0,7.665258959259619
CHEMBL4297091,1.0,7.53497368387934
CHEMBL2105891,0.96,7.466312928519224
CHEMBL772,0.8999999999999999,7.49091033987887
CHEMBL4298128,0.8200000000000001,7.4365910522355
CHEMBL2103744,0.76,7.3910457047899145
CHEMBL3707183,0.66,7.360258531278578
CHEMBL1668,0.5800000000000001,7.352388100959977
CHEMBL2359966,0.56,7.360258531278578
CHEMBL2448613,0.45999999999999996,7.3350853774387925
CHEMBL3989958,0.43999999999999995,7.319561796768575
CHEMBL3039508,0.26,7.3112081816783006
